,mjd,Lum,dLum0,t_from_discovery
0,58878.261105,9.4898836714453E+034,1.25084299686244E+034,0.578594999999041
1,58879.302945,9.74824675828924E+034,1.03042437384192E+034,1.62043500000436
2,58881.15119,1.35610002702756E+035,1.8453237603826E+034,3.46867999999813
3,58883.050795,1.25176242296505E+035,1.08299187529785E+034,5.36828500000411
4,58884.1247075,1.29831864565094E+035,1.31580012345839E+034,6.44219750000048
5,58889.353985,1.21649624766751E+035,9.00975929576076E+033,11.6714750000028
6,58892.0443375,1.1813680436778E+035,7.28796006959947E+033,14.3618275000044
7,58897.23965,1.03373886307212E+035,2.86288270308063E+033,19.5571400000044
8,58901.32388,1.04173742836073E+035,3.55122032103321E+033,23.6413699999976
9,58905.35987,1.1952355441079E+035,2.01656012351601E+033,27.6773600000015
10,58909.4504725,1.08594510544654E+035,4.19190343835963E+033,31.7679625000019
11,58915.09592,9.32165979664746E+034,7.49228846429934E+033,37.413410000001
12,58919.3213025,9.4869155336877E+034,6.3189556242093E+033,41.6387925000017
13,58920.7026025,9.60192878195251E+034,3.24063775398249E+033,43.0200925000027
14,58926.6271,8.45579901821177E+034,8.41560536285435E+033,48.9445899999992
15,58938.43801,6.93406631000396E+034,6.79393810572506E+033,60.7554999999993
16,58951.49122,5.55760738219765E+034,7.49704144520014E+033,73.8087099999975
17,58961.35772,4.40188697672465E+034,3.75517251015998E+033,83.6752100000012
18,58972.5517,2.90937223886647E+034,4.8315073866037E+033,94.8691900000049
19,58979.88334,1.25324432415988E+034,2.35262394215485E+033,102.200830000002
20,58989.79252,6.72977485432516E+033,2.4503865183598E+033,112.110010000004
21,59014.81342,5.55487502867843E+033,2.19943910910788E+033,137.13091
